id,name,sheet_type,category,format,colors_primary,colors_accent,heading_font,body_font,description,key_placeholders,style_notes
sht_001,Concept — Minimal Thesis,concept,Conceptual,A1_landscape,#1A1A1A,#FF4500,Inter,Inter,Clean minimal concept sheet with thesis statement and supporting diagrams,concept_sketch + 3 diagrams + thesis_text,Swiss-school discipline with red accents
sht_002,Concept — Bold Manifesto,concept,Bold,A1_portrait,#000000,#E50914,Archivo Black,Inter,Typography-forward concept where the statement is the visual hero,oversized_statement + hero_render + diagrams,Massive black type with red emphasis
sht_003,Concept — Narrative Flow,concept,Narrative,A1_landscape,#2A2A2A,#B8956A,Lora,Lora,Story-driven concept showing problem→concept→response flow,site_photo + concept_diagram + render,Warm cream with gold directional arrows
sht_004,Concept — Parametric Diagram,concept,Parametric,A1_landscape,#0A2540,#FF6B35,Space Grotesk,IBM Plex Sans,Computational concept with 16-iteration grid and performance data,16_parametric_iterations + hero_form + metrics,Tech-forward with orange callouts
sht_005,Concept — Exploded Axonometric,concept,Diagrammatic,A1_portrait,#1A1A1A,#0066CC,Inter,Inter,Exploded axonometric with all design layers and callout annotations,exploded_axonometric + 6_layer_labels + legend,Blue leader-line annotations
sht_006,Concept — Black Canvas Dark,concept,Dark Premium,A1_landscape,#0A0A0A,#D4AF37,Didot,Montserrat,Dark-mode concept board with cinematic atmosphere,atmospheric_render + white_line_diagrams + concept_text,Luxurious dark mode with gold accents
sht_007,Concept — Hand Sketch Organic,concept,Sketch,A1_landscape,#2C2416,#9B7E46,Caveat,Lora,Hand-drawn concept board with scanned sketches and watercolor textures,hero_sketch + 3_process_sketches + handwritten_notes,Warm paper with hand-drawn Caveat captions
sht_008,Concept — Sustainability Systems,concept,Sustainable,A1_landscape,#2D4A3E,#A4B494,Lora,Nunito Sans,Green concept sheet showing passive systems and sustainability strategy,building_section + 4_system_diagrams + metrics,Sage green with botanical accents
sht_009,Concept — Urban Context Response,concept,Urban,A0_landscape,#2C3E50,#E67E22,Inter,Inter,Urban-scale concept showing site analysis leading to design response,context_map + concept_diagrams + hero_render,Urban analytical with orange highlights
sht_010,Concept — Collage Experiential,concept,Collage,A1_landscape,#1A1A1A,#C5704D,Playfair Display,Inter,Collage-style concept mixing textures and photography for atmosphere,8_collage_images + texture_swatches + concept_text,Overlapping images with terracotta warmth
sht_011,Site Analysis — Full Analytical,site_analysis,Analytical,A1_landscape,#1A1A1A,#FF6B35,Inter,Inter,Comprehensive site analysis with sun/wind/traffic/vegetation/topo/noise,site_plan + 6_analysis_diagrams + site_data,Clean analytical with orange callouts
sht_012,Site Analysis — Minimal Map Focus,site_analysis,Minimalist,A1_portrait,#1A1A1A,#E85A4F,Inter,Inter,Minimal site analysis with large central map and clean data callouts,annotated_site_map + 6_callout_bubbles + legend,Map-dominant with red pins
sht_013,Site Analysis — Climate & Environment,site_analysis,Sustainable,A1_landscape,#2D4A3E,#FFB800,Lora,Nunito Sans,Climate-focused analysis with sun path and rainfall data,sun_path + wind_rose + rainfall_chart + site_section,Yellow sun accents on green background
sht_014,Site Analysis — Urban Context,site_analysis,Urban,A0_landscape,#2C3E50,#E74C3C,Inter,Inter,Urban analysis showing figure-ground and circulation in 6-panel grid,6_analysis_maps + swot_summary,Clean diagrammatic with color-coded maps
sht_015,Site Analysis — Photographic Context,site_analysis,Photographic,A1_landscape,#1A1A1A,#FF4500,Inter,Inter,Photo-driven analysis with aerial and ground context photographs,aerial_photo_annotated + site_plan + 8_context_photos,Photo-led with numbered viewpoints
sht_016,Site Analysis — Landscape & Ecology,site_analysis,Landscape,A1_landscape,#1F3A2F,#8BC34A,Cormorant Garamond,Karla,Ecology-focused with vegetation survey and biodiversity mapping,ecological_map + hydrology + soil_profile + species_icons,Green tones with botanical illustrations
sht_017,Site Analysis — Historical Layers,site_analysis,Heritage,A1_landscape,#3A2F2A,#A0522D,Cormorant,EB Garamond,Historical analysis with 4 temporal maps showing site evolution,4_historical_maps + heritage_constraints + archival_photos,Sepia tones with sienna accents
sht_018,Site Analysis — Dark Drone Aerial,site_analysis,Dark Premium,A1_landscape,#0F0F1E,#00FFC8,Space Grotesk,Inter,Dark-background analysis with dramatic drone photography and glowing overlays,drone_aerial_annotated + analysis_data + mini_diagrams,Dramatic dark mode with cyan neon
sht_019,Mood Board — Classic Grid,mood_board,Classic,A2_portrait,#2C2A2A,#C9A878,Cormorant Garamond,Inter,Classic mood board with 3x3 image grid and color/material swatches,9_inspiration_images + 5_color_swatches + 4_materials,Organized grid with gold accents
sht_020,Mood Board — Organic Collage,mood_board,Organic,A2_landscape,#3D2817,#C5704D,Caveat,Lora,Freeform collage mood board with overlapping images and handwritten notes,12_overlapping_images + 4_textures + handwritten_labels,Torn-edge collage feel with aged paper
sht_021,Mood Board — Material Focus,mood_board,Materials,A2_portrait,#2A2A2A,#8B7355,Lora,Inter,Material-led mood board with large swatches and supplier references,1_hero_texture + 6_swatches + color_palette + suppliers,Tactile feel with material-first hierarchy
sht_022,Mood Board — Interior Styling,mood_board,Interior,A2_landscape,#3A3A3A,#F4C2C2,DM Serif Display,DM Sans,Interior styling with furniture references and lifestyle vignettes,1_hero_interior + 4_furniture_refs + color_palette + materials,Soft pastel with rounded corners
sht_023,Mood Board — Dark Luxury,mood_board,Dark Premium,A2_landscape,#0A0A0A,#D4AF37,Didot,Montserrat,Dark luxury board with moody photography and gold-framed swatches,1_moody_photo + 3_dark_inspiration + 5_luxury_swatches,Luxe black with gold foil frames
sht_024,Mood Board — Minimalist Zen,mood_board,Minimalist,A2_portrait,#1A1A1A,#8B6914,Noto Serif JP,Inter,Ultra-minimal board with 70% white space and just 2-3 carefully selected images,2_key_images + 3_color_circles + 1_mood_word,Supreme restraint with Zen calm
sht_025,Mood Board — Tropical Biophilic,mood_board,Tropical,A2_landscape,#1B3D2F,#D4A574,Cormorant Garamond,Karla,Lush tropical board with greenery and natural material inspiration,1_hero_tropical + 6_botanical_images + natural_swatches,Deep greens with gold botanical accents
sht_026,Mood Board — Brutalist Raw,mood_board,Brutalist,A2_landscape,#2C2C2C,#E85A4F,Archivo Black,Space Grotesk,Raw concrete-focused board with heavy textures and industrial materials,3_concrete_textures + 4_brutalist_refs + 5_raw_swatches,Heavy grays with red Archivo type
sht_027,Floor Plan — Standard Technical,floor_plan,Technical,A1_landscape,#000000,#000000,Inter,Inter,Standard technical floor plan with title block scale and north arrow,floor_plan + room_labels + dimensions + title_block,Pure technical drafting standards
sht_028,Floor Plan — Rendered Presentation,floor_plan,Presentation,A1_landscape,#1A1A1A,#4A90E2,Inter,Inter,Rendered plan showing materials furniture and landscape context,rendered_plan + room_schedule + materials_legend + furniture,Color-rendered with blue labels
sht_029,Floor Plan — Multi-Level Stack,floor_plan,Technical,A0_landscape,#000000,#0066CC,Inter,Inter,Multi-level plan showing all floors stacked for comparison,3_floor_plans + floor_labels + room_labels + title_block,All floors same scale for comparison
sht_030,Floor Plan — Minimal Gallery,floor_plan,Minimalist,A1_portrait,#1A1A1A,#1A1A1A,Cormorant Garamond,Inter,Minimal presentation plan with thin lines and elegant labeling,thin_line_plan + minimal_room_names + scale_north,Thin hairline plan with gallery feel
sht_031,Floor Plan — Color-Zoned Program,floor_plan,Diagrammatic,A1_landscape,#1A1A1A,#FF6B35,Inter,Inter,Color-coded programmatic plan with functional zones highlighted,color_filled_zones + program_legend + area_table,5 zone colors with orange accents
sht_032,Floor Plan — Landscape Site Plan,floor_plan,Landscape,A1_landscape,#1F3A2F,#8BC34A,Cormorant Garamond,Karla,Site plan with landscape design showing planting and hardscape,rendered_landscape_plan + planting_schedule + materials_legend,Green landscape with botanical symbols
sht_033,Floor Plan — Dark Contrast,floor_plan,Dark Premium,A1_landscape,#FFFFFF,#D4AF37,Didot,Montserrat,Dark-mode plan with white lines on black background,white_line_plan + gold_labels + scale_north,Dramatic dark gallery aesthetic
sht_034,Floor Plan — Furniture Layout,floor_plan,Interior,A1_landscape,#2C2A2A,#C9A878,Cormorant Garamond,Inter,Interior furniture layout plan with FF&E schedule and finishes,furniture_plan + furniture_schedule + finish_schedule + legend,Interior-design precision with gold labels
sht_035,Section — Standard Technical,section,Technical,A1_landscape,#000000,#000000,Inter,Inter,Standard technical section with material hatching and annotations,building_section + material_hatching + dimensions + callouts,Standard technical section drawing
sht_036,Section — Rendered Atmospheric,section,Presentation,A1_landscape,#1A1A1A,#FFB800,Cormorant Garamond,Inter,Rendered atmospheric section showing interior spaces and light,rendered_section + room_labels + light_rays + description,Atmospheric with warm light and people
sht_037,Section — Wall Detail Assembly,section,Technical,A1_portrait,#000000,#0066CC,Inter,Inter,Detailed wall section showing all construction layers foundation to roof,detailed_wall_section + 12_material_callouts + dimensions,Blue leader-line technical callouts
sht_038,Section — Landscape Terrain,section,Landscape,A1_landscape,#1F3A2F,#8BC34A,Cormorant Garamond,Karla,Landscape section showing terrain planting and site integration,terrain_section + vegetation_symbols + soil_profile + water_table,Green vegetation with earth tones
sht_039,Section — Perspective Section,section,Presentation,A1_landscape,#1A1A1A,#C5704D,Inter,Inter,3D perspective section revealing interior spaces with depth and atmosphere,3d_sectional_perspective + space_labels + human_figures,Dramatic 3D with terracotta accents
sht_040,Section — Multiple Sections Comparison,section,Technical,A0_landscape,#000000,#0066CC,Inter,Inter,Longitudinal and transverse sections on one sheet for comparison,section_AA + section_BB + level_markers + alignment,Top-bottom comparison layout
sht_041,Elevation — Standard Technical,elevation,Technical,A1_landscape,#000000,#000000,Inter,Inter,Standard technical elevation with material indications and level lines,building_elevation + level_markers + facade_legend + title_block,Standard technical elevation drawing
sht_042,Elevation — Rendered Facade,elevation,Presentation,A1_landscape,#1A1A1A,#B8956A,Cormorant Garamond,Inter,Rendered facade showing materials shadows and human context,rendered_elevation + material_callouts + facade_description,Beautiful rendered with shadows and scale
sht_043,Elevation — All Four Facades,elevation,Technical,A0_landscape,#000000,#0066CC,Inter,Inter,Four facade elevations on one sheet (N/S/E/W) for comparison,north_elevation + south_elevation + east_elevation + west_elevation,Four elevations in 2x2 grid
sht_044,Elevation — Street Context,elevation,Urban,A1_landscape,#2C3E50,#E74C3C,Inter,Inter,Street elevation showing building in context with neighbors,long_street_elevation + neighbors + project_highlight + context_photos,Panoramic street view with red highlight
sht_045,Elevation — Facade Detail Study,elevation,Technical,A1_landscape,#000000,#FF6B35,Inter,Inter,Facade elevation plus zoomed-in detail panels showing joints and assemblies,overall_elevation + 3_detail_panels + material_legend,Overview to detail with orange callouts
sht_046,Elevation — Dark Dramatic Night,elevation,Dark Premium,A1_landscape,#0A0A0A,#FFB800,Didot,Montserrat,Night elevation with glowing interiors and dramatic nightscape,night_rendered_elevation + glowing_windows + gold_title,Cinematic night with gold Didot title
sht_047,Axonometric — Exploded Assembly,axonometric,Technical,A1_portrait,#1A1A1A,#0066CC,Inter,Inter,Exploded axonometric showing 5 building systems as separate layers,exploded_axonometric + 5_layer_labels + systems_legend,Color-coded layers in vertical explode
sht_048,Axonometric — Worm's Eye,axonometric,Presentation,A1_portrait,#1A1A1A,#FF6B35,Space Grotesk,Inter,Worm's-eye view showing ceiling planes and spatial relationships from below,worms_eye_axonometric + 6_space_labels + spatial_description,Dramatic view from below with orange labels
sht_049,Axonometric — Site Context Isometric,axonometric,Urban,A1_landscape,#2C3E50,#E74C3C,Inter,Inter,Isometric site view showing building in full urban context,isometric_view + context_buildings + project_highlight,Red project vs gray context buildings
sht_050,Axonometric — Cutaway Interior,axonometric,Presentation,A1_landscape,#1A1A1A,#C9A878,Cormorant Garamond,Inter,Cutaway axonometric revealing furnished interiors and daily life,cutaway_axonometric + 8_room_labels + furniture_visible + people,Architectural dollhouse feel with gold labels
sht_051,Axonometric — Construction Sequence,axonometric,Technical,A1_landscape,#1A1A1A,#FF6B35,Inter,Inter,Construction sequence axonometric showing 6 build stages,6_sequence_axonometrics + 6_stage_labels + descriptions,Orange stage numbers in timeline flow
sht_052,Detail — Construction Detail Grid,detail,Technical,A1_landscape,#000000,#0066CC,Inter,Inter,Grid of 4-6 construction details with material callouts,6_detail_drawings + 6_scales + material_callouts + specs,Clean 2x3 grid with blue callouts
sht_053,Detail — Facade System Assembly,detail,Technical,A1_portrait,#000000,#FF6B35,Inter,Inter,Facade system detail showing curtain wall or cladding assembly,facade_section + 3_junction_details + component_table,Section with zoomed junction details
sht_054,Detail — Material Joint Close-Up,detail,Materials,A2_landscape,#2A2A2A,#8B7355,Lora,Inter,Material joint detail with close-up drawing and reference photograph,joint_detail_drawing + joint_photograph + material_specs,Drawing paired with real photo
sht_055,Detail — Staircase/Railing Detail,detail,Technical,A1_landscape,#000000,#000000,Inter,Inter,Staircase detail showing section plan handrail and balustrade,stair_section + stair_plan + handrail_profile + balustrade,Multi-view staircase composite
sht_056,Presentation Board — Full Project A1,presentation_board,Comprehensive,A1_portrait,#1A1A1A,#FF4500,Inter,Inter,Complete project on one A1 with concept plans sections renders and data,hero_render + concept + plans_sections + interior_renders,Information-dense with red accents
sht_057,Presentation Board — Competition A0,presentation_board,Competition,A0_portrait,#000000,#FFD700,Space Grotesk,Inter,Large-format competition board for jury viewing,competition_hero + concept_row + technical_row + detail_row,Bold graphics with yellow competition number
sht_058,Presentation Board — Landscape Panoramic,presentation_board,Landscape,A0_landscape,#1F3A2F,#C4A56B,Cormorant Garamond,Karla,Wide panoramic board for landscape/master plan projects,panoramic_render + master_plan + analysis + sections + planting,Panoramic format with earth tones
sht_059,Presentation Board — Student Crit Board,presentation_board,Academic,A1_portrait,#1B1B1B,#A52A2A,Crimson Pro,Crimson Pro,Student crit-ready board with concept process drawings and models,abstract + concept_sketches + drawings + models_renders,Academic thesis structure with burgundy
sht_060,Presentation Board — Minimal Gallery,presentation_board,Minimalist,A1_landscape,#1A1A1A,#1A1A1A,Cormorant Garamond,Inter,Gallery-style minimal board with one hero and restrained info,single_hero_image + small_plan + section + text,Image-dominant with white space
sht_061,Presentation Board — Dark Cinematic,presentation_board,Dark Premium,A1_landscape,#0A0A0A,#D4AF37,Didot,Montserrat,Dark cinematic board with dramatic renders and gold information,hero_render + secondary_renders + plan_section + gold_data,Render-dominant dark with gold type
sht_062,Diagram — Circulation & Program,diagram,Analytical,A2_landscape,#1A1A1A,#FF6B35,Inter,Inter,Circulation and programmatic analysis showing movement and adjacencies,circulation_plan + bubble_diagram + area_chart + legend,Orange circulation arrows with zones
sht_063,Diagram — Massing Study,diagram,Conceptual,A2_landscape,#1A1A1A,#4A90E2,Inter,Inter,Massing study progression showing form evolution through iterations,6_massing_models + iteration_labels + progression_arrows,6 white masses in row with blue highlight
sht_064,Diagram — Environmental Strategy,diagram,Sustainable,A2_landscape,#2D4A3E,#FFB800,Lora,Nunito Sans,Environmental strategy diagram with passive systems and energy metrics,building_section + passive_overlays + 6_strategy_icons + metrics,Section with sun/wind/rain overlays
sht_065,Diagram — Design Timeline Process,diagram,Process,A2_landscape,#1A1A1A,#FF6B35,Inter,Inter,Project timeline showing design phases from brief through construction,horizontal_timeline + phase_thumbnails + 6_stages,Orange milestone markers in Gantt style
sht_066,Diagram — Structural System,diagram,Technical,A2_landscape,#1A1A1A,#E74C3C,Inter,Inter,Structural system showing load paths structural grid and foundation,structural_axonometric + load_diagram + member_schedule,Red structural members with arrows
