id,name,category,description,primary_color,accent_color,background_color,heading_font,body_font,renders,plans,sections,diagrams,orientation,page_count,style_notes
tpl_001,Nordic Minimal,Minimalist,Clean Scandinavian-inspired with white space and serif headings,#1A1A1A,#E8E4DC,#FFFFFF,Cormorant Garamond,Inter,3,2,1,2,portrait_A4,16-24,Premium gallery-style for high-end residential
tpl_002,Brutalist Bold,Brutalist,Heavy typography-driven with concrete textures and stark contrasts,#2C2C2C,#D9D2C5,#F2EFEA,Archivo Black,Space Grotesk,4,2,2,1,portrait_A4,20-30,Strong character for concrete/brutalist practices
tpl_003,Parametric Wave,Parametric,Dynamic curved layouts with diagrammatic overlays for computational design,#0A2540,#FF6B35,#FAFAFA,Neue Haas Grotesk,IBM Plex Sans,4,1,2,6,landscape_A4,24-40,Best for computational and generative architecture
tpl_004,Editorial Magazine,Editorial,Magazine-style with editorial typography and pull quotes,#1C1C1C,#B8956A,#FFFFFF,Playfair Display,Source Serif Pro,4,2,2,2,portrait_A4,32-48,Sophisticated narrative-driven for award-winning architects
tpl_005,Japanese Tatami,Minimalist,Grid-based modular layouts inspired by Japanese architecture,#1A1A1A,#8B6914,#F8F5F0,Noto Serif JP,Inter,6,2,1,1,portrait_A4,20-28,Refined meditative for residential and hospitality
tpl_006,Concrete Monolith,Brutalist,Dark concrete-toned with full-bleed photography and monolithic typography,#3D3D3D,#E85A4F,#1A1A1A,Bebas Neue,Roboto,5,2,2,1,landscape_A4,24-32,Dramatic strong identity for industrial practices
tpl_007,Sustainable Green,Sustainable,Earthy palette with botanical accents for sustainable architecture,#2D4A3E,#A4B494,#F4F1E8,Lora,Nunito Sans,3,2,2,4,portrait_A4,24-36,Eco-friendly warm for green architects and LEED practices
tpl_008,Urban Grid,Modern,Strong grid-based modern for urban and commercial projects,#0F0F0F,#FFCB05,#FFFFFF,Inter,Inter,6,2,1,2,landscape_A4,24-32,Systematic contemporary for commercial and urban projects
tpl_009,Heritage Classical,Heritage,Classical layout with serif typography and ornamental details,#3A2F2A,#9C7A4E,#F8F2E8,Cormorant,Crimson Text,3,3,2,1,portrait_A4,24-32,Traditional refined for heritage restoration architects
tpl_010,Black Canvas,Dark Premium,Luxurious dark-mode with gold accents and premium feel,#0A0A0A,#D4AF37,#0A0A0A,Didot,Montserrat,5,1,1,1,landscape_A4,20-30,Luxury premium for high-end and luxury residential
tpl_011,Pastel Soft,Soft Modern,Soft pastel palette with friendly approachable feel,#3A3A3A,#F4C2C2,#FDF8F4,DM Serif Display,DM Sans,4,2,1,2,portrait_A4,20-28,Friendly residential for small studios and interior architects
tpl_012,Industrial Loft,Industrial,Industrial-inspired with engineering-style annotations,#2B2B2B,#C65D2A,#E8E4DC,Oswald,Roboto,3,3,3,3,landscape_A4,28-36,Industrial conversion specialists and adaptive reuse
tpl_013,Landscape Horizon,Landscape,Wide horizontal layouts emphasizing site and landscape,#1F3A2F,#C4A56B,#F2EEE3,Cormorant Garamond,Karla,4,4,3,4,landscape_A3,28-40,Landscape architecture and master planning
